Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,351.000000,351.850006,348.000000,349.649994,342.882599,22873951
2018-11-06,348.700012,358.299988,347.649994,353.100006,346.265778,21349153
2018-11-07,356.750000,357.000000,354.549988,355.899994,349.011566,2074764
2018-11-09,356.899994,358.100006,352.399994,356.850006,349.943237,15130936
2018-11-12,356.000000,358.200012,351.500000,352.350006,345.530304,10642857
2018-11-13,347.799988,361.950012,347.799988,360.899994,353.914795,17684864
2018-11-14,365.000000,369.899994,361.299988,366.600006,359.504486,31774158
2018-11-15,366.100006,374.899994,362.100006,370.000000,362.838715,21967798
2018-11-16,370.100006,375.299988,365.549988,367.549988,360.436096,29972926
2018-11-19,368.299988,370.700012,360.750000,362.399994,355.385803,16002154
2018-11-20,362.000000,365.450012,354.600006,357.899994,350.972900,19591217
2018-11-21,356.350006,360.299988,353.049988,356.750000,349.845154,29323882
2018-11-22,357.649994,358.500000,351.000000,352.049988,345.236115,12547369
2018-11-26,354.750000,357.850006,350.700012,356.350006,349.452942,20673027
2018-11-27,355.750000,356.100006,351.600006,354.649994,347.785767,17933339
2018-11-28,356.950012,361.549988,353.250000,359.000000,352.051636,18163000
2018-11-29,363.000000,366.399994,360.200012,362.200012,355.189697,38692771
2018-11-30,365.000000,365.000000,353.799988,355.149994,348.276123,21893877
2018-12-03,358.899994,358.899994,352.100006,355.500000,348.619385,23427270
2018-12-04,353.299988,359.100006,353.299988,357.950012,351.021942,18651442
2018-12-05,355.299988,356.350006,350.450012,351.399994,344.598694,12068267
2018-12-06,348.200012,349.950012,343.350006,347.649994,340.921295,17784829
2018-12-07,349.600006,353.000000,345.299988,352.200012,345.383240,14979672
2018-12-10,346.500000,349.450012,344.250000,346.350006,339.646454,14107881
2018-12-11,337.399994,345.000000,336.000000,342.799988,336.165161,36885929
2018-12-12,342.799988,351.700012,339.399994,349.950012,343.176788,24740214
2018-12-13,352.899994,354.200012,347.600006,349.549988,342.784485,19129928
2018-12-14,349.200012,354.049988,349.149994,351.899994,345.089020,12104234
2018-12-17,352.299988,360.500000,352.299988,358.450012,351.512268,18378122
2018-12-18,356.750000,362.899994,354.600006,362.250000,355.238708,15405953
