Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,242.899994,248.699997,241.000000,246.000000,228.824081,5613259
2018-11-06,246.850006,248.500000,240.250000,242.050003,225.149887,4298701
2018-11-07,244.000000,244.649994,242.100006,242.800003,225.847519,600198
2018-11-09,243.000000,252.199997,240.699997,246.399994,229.196152,7032653
2018-11-12,246.800003,247.649994,237.000000,238.100006,221.475677,5046681
2018-11-13,237.000000,246.000000,234.699997,243.250000,226.266098,6128406
2018-11-14,246.000000,257.399994,244.100006,252.649994,235.009766,10419931
2018-11-15,252.949997,259.450012,248.000000,255.649994,237.800308,7428539
2018-11-16,255.449997,266.399994,250.899994,263.700012,245.288269,10143334
2018-11-19,266.799988,267.750000,259.250000,261.100006,242.869797,6637142
2018-11-20,255.399994,264.250000,255.350006,256.850006,238.916534,7643669
2018-11-21,256.899994,264.899994,256.500000,263.100006,244.730148,7807803
2018-11-22,264.299988,264.500000,257.600006,260.899994,242.683762,7395443
2018-11-26,263.250000,264.950012,256.799988,263.649994,245.241745,6377801
2018-11-27,263.250000,269.450012,261.649994,267.549988,248.869446,9163876
2018-11-28,268.750000,272.000000,260.350006,262.049988,243.753464,7340113
2018-11-29,264.799988,267.250000,260.200012,261.049988,242.823273,5327399
2018-11-30,262.899994,264.000000,254.000000,255.800003,237.939835,5576043
2018-12-03,257.950012,261.899994,254.750000,257.950012,239.939743,6925635
2018-12-04,257.899994,258.399994,252.449997,253.850006,236.125992,4878901
2018-12-05,251.699997,255.949997,250.250000,252.500000,234.870255,5587340
2018-12-06,251.000000,251.399994,243.699997,245.899994,228.731064,5268579
2018-12-07,247.800003,252.699997,241.500000,247.199997,229.940292,5679958
2018-12-10,240.000000,246.199997,239.350006,241.100006,224.266220,3816129
2018-12-11,235.000000,250.399994,235.000000,248.300003,230.963501,7078833
2018-12-12,252.000000,259.250000,250.000000,258.100006,240.079254,7229352
2018-12-13,260.000000,263.899994,255.800003,259.549988,241.428009,6414287
2018-12-14,258.600006,267.399994,257.200012,266.450012,247.846283,6640373
2018-12-17,266.750000,268.450012,263.250000,265.549988,247.009079,3263657
2018-12-18,264.549988,271.350006,263.450012,269.149994,250.357727,5551983
2018-12-19,272.399994,277.399994,271.100006,274.250000,255.101654,6333743
2018-12-20,272.149994,277.299988,266.299988,268.450012,249.706619,7203280
2018-12-21,270.000000,272.250000,263.850006,265.500000,246.962585,4509612
2018-12-24,265.100006,270.000000,262.500000,266.350006,247.753235,4364117
2018-12-26,266.000000,273.549988,259.649994,270.899994,251.985550,4715909
2018-12-27,272.600006,274.700012,270.100006,272.250000,253.241287,5002091
2018-12-28,274.399994,279.000000,272.500000,277.450012,258.078247,5203766
2018-12-31,279.750000,281.600006,274.250000,275.049988,255.845795,4258488
2019-01-01,276.500000,283.399994,274.299988,281.500000,261.845459,5419071
2019-01-02,280.200012,283.700012,273.600006,275.399994,256.171356,5644563
2019-01-03,275.899994,278.399994,273.350006,276.299988,257.008514,3993439
2019-01-04,278.000000,285.500000,274.200012,282.950012,263.194214,6138056
2019-01-07,284.700012,286.450012,276.850006,278.250000,258.822357,3551975
2019-01-08,277.899994,290.000000,277.049988,287.899994,267.798584,5572988
2019-01-09,289.000000,289.850006,276.450012,280.500000,260.915253,6418709
2019-01-10,280.750000,283.149994,278.299988,281.049988,261.426880,3359442
2019-01-11,281.899994,282.299988,276.500000,278.250000,258.822357,3039547
2019-01-14,278.250000,281.450012,275.149994,278.000000,258.589813,3631407
2019-01-15,280.750000,280.750000,273.649994,275.350006,256.124847,3287352
2019-01-16,276.250000,280.850006,274.549988,275.350006,256.124847,3880186
2019-01-17,275.899994,277.299988,269.899994,275.450012,256.217865,3578928
2019-01-18,277.450012,277.799988,271.850006,272.600006,253.566864,2620498
2019-01-21,274.000000,276.500000,265.399994,268.000000,249.288025,3386812
2019-01-22,267.000000,269.100006,261.500000,263.450012,245.055725,3037292
2019-01-23,263.500000,265.000000,258.750000,260.450012,242.265198,3650554
2019-01-24,260.500000,263.799988,257.450012,262.299988,243.985992,3700424
2019-01-25,264.000000,265.000000,249.250000,254.350006,236.591095,4039492
2019-01-28,256.000000,261.950012,237.699997,240.399994,223.615067,10601787
2019-01-29,241.899994,253.800003,240.199997,246.300003,229.103149,9815650
2019-01-30,248.000000,251.850006,245.199997,249.750000,232.312271,4417310
2019-01-31,251.649994,252.250000,245.800003,250.149994,232.684326,4522100
2019-02-01,252.000000,252.399994,235.100006,238.050003,221.429169,5884645
2019-02-04,239.000000,239.300003,230.350006,235.000000,218.592117,4995591
2019-02-05,236.000000,237.649994,229.600006,231.149994,215.010910,4362173
2019-02-06,232.500000,236.949997,226.550003,235.600006,219.150238,4324859
2019-02-07,236.050003,241.500000,233.899994,237.050003,220.498993,4888921
2019-02-08,236.000000,236.149994,226.899994,228.250000,212.313416,4172029
2019-02-11,228.750000,229.500000,223.800003,225.000000,209.290314,3150448
2019-02-12,225.000000,227.600006,219.800003,220.600006,205.197540,4168595
2019-02-14,219.600006,226.000000,218.100006,223.699997,208.081085,5849471
2019-02-15,223.699997,223.850006,213.300003,215.250000,200.221069,5228707
2019-02-18,216.500000,217.300003,212.800003,213.649994,198.732788,3201980
2019-02-19,214.899994,221.399994,213.649994,214.850006,199.849014,6221013
2019-02-20,216.500000,219.800003,215.750000,218.550003,203.290680,3644838
2019-02-21,225.000000,225.000000,220.350006,221.500000,206.034698,4449981
2019-02-22,221.500000,223.750000,218.600006,222.000000,206.499786,3404670
2019-02-25,223.800003,223.800003,221.399994,222.800003,207.243942,2318426
2019-02-26,219.000000,220.550003,213.350006,217.949997,202.732559,4611195
2019-02-27,219.000000,232.550003,219.000000,231.199997,215.057434,13081688
