Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,974.950012,979.825012,969.000000,978.000000,943.700928,2852648
2018-11-06,977.500000,988.000000,971.474976,973.275024,939.141541,4242794
2018-11-07,980.500000,982.474976,975.000000,978.974976,944.641724,479380
2018-11-09,979.099976,979.950012,968.150024,972.700012,938.586731,5050810
2018-11-12,975.750000,981.000000,958.575012,960.525024,926.838745,3953882
2018-11-13,959.500000,968.849976,954.099976,963.875000,930.071228,6675210
2018-11-14,969.275024,980.000000,968.299988,978.875000,944.545166,13055318
2018-11-15,980.950012,988.650024,965.599976,987.575012,952.940063,5196262
2018-11-16,990.500000,1006.500000,990.000000,1002.150024,967.003967,7906608
2018-11-19,1005.500000,1010.500000,1000.950012,1006.950012,971.635559,6143214
2018-11-20,1006.500000,1009.799988,999.525024,1006.224976,970.935974,2852584
2018-11-21,1006.375000,1011.974976,1002.000000,1009.375000,973.975525,3272802
2018-11-22,1006.625000,1017.500000,1000.075012,1002.750000,967.582764,6487276
2018-11-26,1006.950012,1026.000000,1006.025024,1024.900024,988.956055,9092218
2018-11-27,1020.525024,1033.949951,1020.375000,1032.000000,995.807068,6447720
2018-11-28,1032.500000,1049.300049,1030.050049,1044.625000,1007.989197,6510554
2018-11-29,1050.500000,1068.699951,1047.000000,1065.525024,1028.156372,15954318
2018-11-30,1065.000000,1068.775024,1055.000000,1064.224976,1026.901733,6520462
2018-12-03,1065.500000,1071.000000,1053.449951,1056.650024,1019.592468,5399928
2018-12-04,1052.699951,1055.500000,1039.300049,1042.775024,1006.204285,4078710
2018-12-05,1039.000000,1052.650024,1037.974976,1049.599976,1012.789856,5899422
2018-12-06,1044.849976,1050.824951,1042.500000,1048.525024,1011.752563,5865126
2018-12-07,1053.349976,1059.000000,1040.150024,1053.800049,1016.842407,4951960
2018-12-10,1032.949951,1052.400024,1032.949951,1044.375000,1007.748047,5457528
2018-12-11,1028.000000,1035.650024,1016.000000,1029.775024,993.660156,9452890
2018-12-12,1033.474976,1044.900024,1030.050049,1042.650024,1006.083496,5685244
2018-12-13,1047.500000,1062.500000,1045.650024,1050.650024,1013.802979,3532118
2018-12-14,1052.449951,1059.000000,1044.025024,1047.849976,1011.101135,3079142
2018-12-17,1052.000000,1066.300049,1049.500000,1065.099976,1027.746216,4218662
2018-12-18,1062.000000,1069.500000,1051.300049,1067.724976,1030.279053,3706984
2018-12-19,1066.550049,1079.699951,1056.775024,1061.724976,1024.489502,4504948
2018-12-20,1056.275024,1070.224976,1051.324951,1068.724976,1031.244141,3990238
2018-12-21,1067.000000,1074.550049,1054.525024,1055.574951,1018.555298,5110154
2018-12-24,1052.000000,1052.000000,1038.675049,1040.324951,1003.839966,2800744
2018-12-26,1038.500000,1063.500000,1034.500000,1061.175049,1023.958801,3800958
